id_categorie_billet;id_salle;nom_salle;categorie_billet;jauge_categorie_billet;type_tarif;id_cat_profil;id_cat_horaire;profil_tarif;horaire_tarif;tarif_brut
SCST01;SCST;Studio-Théâtre;Non différencié;136;ABONNEMENT;CP011;CH001;Carte Famille / Tarif adulte;Horaire Indifférencié;23
SCST01;SCST;Studio-Théâtre;Non différencié;136;ABONNEMENT;CP012;CH001;Carte Famille / Tarif moins de 28 ans;Horaire Indifférencié;13
SCST01;SCST;Studio-Théâtre;Non différencié;136;GROUPE;CP013;CH002;Collectivités;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;24
SCST01;SCST;Studio-Théâtre;Non différencié;136;GROUPE;CP013;CH003;Collectivités;Vendredi & samedi à 20h30;24
SCST01;SCST;Studio-Théâtre;Non différencié;136;GROUPE;CP013;CH004;Collectivités;Samedi 14h & dimanche à 20h30;24
SCST01;SCST;Studio-Théâtre;Non différencié;136;GROUPE;CP014;CH001;Enseignement (groupes scolaires);Horaire Indifférencié;10
SCST01;SCST;Studio-Théâtre;Non différencié;136;GROUPE;CP015;CH001;Formations (groupes enseignants);Horaire Indifférencié;13
SCST01;SCST;Studio-Théâtre;Non différencié;136;GROUPE;CP016;CH001;Champ médico-social;Horaire Indifférencié;6
STSM01;STSM;Théâtre de la Porte Saint-Martin;A;538;INDIVIDUEL;CP001;CH002;Plein tarif;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;44
STSM01;STSM;Théâtre de la Porte Saint-Martin;A;538;INDIVIDUEL;CP001;CH003;Plein tarif;Vendredi & samedi à 20h30;44
STSM01;STSM;Théâtre de la Porte Saint-Martin;A;538;INDIVIDUEL;CP001;CH004;Plein tarif;Samedi 14h & dimanche à 20h30;44
STSM01;STSM;Théâtre de la Porte Saint-Martin;A;538;INDIVIDUEL;CP002;CH002;Moins de 30 ans + plus de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;44
STSM01;STSM;Théâtre de la Porte Saint-Martin;A;538;INDIVIDUEL;CP002;CH003;Moins de 30 ans + plus de 28 ans;Vendredi & samedi à 20h30;44
STSM01;STSM;Théâtre de la Porte Saint-Martin;A;538;INDIVIDUEL;CP002;CH004;Moins de 30 ans + plus de 28 ans;Samedi 14h & dimanche à 20h30;44
STSM01;STSM;Théâtre de la Porte Saint-Martin;A;538;INDIVIDUEL;CP003;CH002;Moins de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;22
